Task A3: Temperatures within range 10.0 and 20.0 in Argentina
Temperature, Year, Month, Country, Country_Code
10.05 (C), 50.08 (F), 2012, Aug, Argentina, ARG
10.18 (C), 50.33 (F), 2000, May, Argentina, ARG
10.23 (C), 50.41 (F), 2010, May, Argentina, ARG
10.26 (C), 50.47 (F), 2008, May, Argentina, ARG
10.39 (C), 50.70 (F), 2005, May, Argentina, ARG
10.44 (C), 50.79 (F), 2016, Aug, Argentina, ARG
10.55 (C), 50.99 (F), 2001, Aug, Argentina, ARG
10.81 (C), 51.46 (F), 2015, Aug, Argentina, ARG
10.82 (C), 51.48 (F), 2000, Sep, Argentina, ARG
10.88 (C), 51.59 (F), 2011, May, Argentina, ARG
10.90 (C), 51.62 (F), 2009, Sep, Argentina, ARG
10.91 (C), 51.63 (F), 2009, Aug, Argentina, ARG
10.96 (C), 51.73 (F), 2005, Sep, Argentina, ARG
10.98 (C), 51.76 (F), 2014, Aug, Argentina, ARG
10.99 (C), 51.78 (F), 2014, May, Argentina, ARG
11.04 (C), 51.87 (F), 2002, May, Argentina, ARG
11.12 (C), 52.01 (F), 2003, May, Argentina, ARG
11.12 (C), 52.02 (F), 2013, May, Argentina, ARG
11.17 (C), 52.11 (F), 2013, Sep, Argentina, ARG
11.45 (C), 52.61 (F), 2001, Sep, Argentina, ARG
11.61 (C), 52.89 (F), 2009, May, Argentina, ARG
11.65 (C), 52.96 (F), 2015, Sep, Argentina, ARG
11.73 (C), 53.12 (F), 2008, Sep, Argentina, ARG
11.87 (C), 53.37 (F), 2012, May, Argentina, ARG
11.94 (C), 53.50 (F), 2010, Sep, Argentina, ARG
11.99 (C), 53.58 (F), 2002, Sep, Argentina, ARG
12.04 (C), 53.67 (F), 2016, Sep, Argentina, ARG
12.18 (C), 53.92 (F), 2015, May, Argentina, ARG
12.22 (C), 53.99 (F), 2006, Sep, Argentina, ARG
12.48 (C), 54.47 (F), 2003, Sep, Argentina, ARG
12.66 (C), 54.80 (F), 2007, Sep, Argentina, ARG
12.81 (C), 55.06 (F), 2004, Sep, Argentina, ARG
13.09 (C), 55.57 (F), 2005, Apr, Argentina, ARG
