Task C1: Temperature Deltas in All Countries in Jun between 2007 and 2001
Temperature, Year, Month, Country, Country_Code
3.34 (C), 38.02 (F), 6, Jun, Croatia, HRV
3.56 (C), 38.40 (F), 6, Jun, Bosnia and Herzegovina, BIH
3.57 (C), 38.42 (F), 6, Jun, Slovakia, SVK
3.60 (C), 38.48 (F), 6, Jun, Poland, POL
3.70 (C), 38.67 (F), 6, Jun, Hungary, HUN
3.79 (C), 38.82 (F), 6, Jun, Republic of Serbia, SRB
3.89 (C), 39.00 (F), 6, Jun, Czech Republic, CZE
3.89 (C), 39.01 (F), 6, Jun, Romania, ROU
3.92 (C), 39.06 (F), 6, Jun, Ukraine, UKR
4.43 (C), 39.98 (F), 6, Jun, Moldova, MDA

Task C1: Temperature Deltas in All Countries in Jan between 2000 and 2016
Temperature, Year, Month, Country, Country_Code
3.41 (C), 38.13 (F), 16, Jan, Portugal, PRT
3.54 (C), 38.37 (F), 16, Jan, Spain, ESP
3.93 (C), 39.07 (F), 16, Jan, Lithuania, LTU
4.25 (C), 39.65 (F), 16, Jan, Greenland, GRL
4.64 (C), 40.35 (F), 16, Jan, Canada, CAN
4.70 (C), 40.47 (F), 16, Jan, Latvia, LVA
5.02 (C), 41.04 (F), 16, Jan, Norway, NOR
5.63 (C), 42.13 (F), 16, Jan, Sweden, SWE
5.99 (C), 42.78 (F), 16, Jan, Estonia, EST
6.90 (C), 44.42 (F), 16, Jan, Finland, FIN

Task C1: Temperature Deltas in All Countries in Feb between 2000 and 2016
Temperature, Year, Month, Country, Country_Code
4.02 (C), 39.24 (F), 16, Feb, Republic of Serbia, SRB
4.06 (C), 39.31 (F), 16, Feb, Republic of Montenegro, MNE
4.16 (C), 39.48 (F), 16, Feb, Syria, SYR
4.18 (C), 39.52 (F), 16, Feb, Albania, ALB
4.28 (C), 39.70 (F), 16, Feb, Romania, ROU
4.30 (C), 39.75 (F), 16, Feb, Georgia, GEO
4.43 (C), 39.97 (F), 16, Feb, Macedonia, MKD
4.50 (C), 40.10 (F), 16, Feb, Bulgaria, BGR
4.64 (C), 40.36 (F), 16, Feb, Cyprus, CYP
5.39 (C), 41.71 (F), 16, Feb, Turkey, TUR

Task C1: Temperature Deltas in All Countries in Mar between 2000 and 2016
Temperature, Year, Month, Country, Country_Code
3.46 (C), 38.23 (F), 16, Mar, Uzbekistan, UZB
3.51 (C), 38.31 (F), 16, Mar, Eritrea, ERI
3.56 (C), 38.40 (F), 16, Mar, Cyprus, CYP
